Title,Link,Score,Image Link,Genres
,https://myanimelist.net/manga/147769/No_Home,8.67,https://cdn.myanimelist.net/r/50x70/images/manga/3/264873.webp?s=416bd2e9c483aec3227e7d23da228989,
,https://myanimelist.net/manga/664/Akira,8.66,https://cdn.myanimelist.net/r/50x70/images/manga/3/271629.webp?s=05cc2d8b4b13528907096acc0c5ae0f9,"Action, Award Winning, Sci-Fi"
,https://myanimelist.net/manga/121496/Solo_Leveling,8.66,https://cdn.myanimelist.net/r/50x70/images/manga/3/222295.webp?s=d038d98e7153bc4efc3dfb75e374bea0,"Action, Adventure, Fantasy"
,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast,8.66,https://cdn.myanimelist.net/r/50x70/images/manga/2/234643.webp?s=0e81a00e7e3590a7fb918540aae12c6c,"Action, Mystery, Supernatural"
,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai,8.65,https://cdn.myanimelist.net/r/50x70/images/manga/2/248632.webp?s=a0df4ab691bd2e0102d30b5fdfcf6b1c,"Drama, Romance"
,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,8.65,https://cdn.myanimelist.net/r/50x70/images/manga/1/171813.webp?s=836ecc8cf39c931eebbd63a5b5b45ea1,"Award Winning, Sci-Fi, Slice of Life"
,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru,8.65,https://cdn.myanimelist.net/r/50x70/images/manga/1/232311.webp?s=2218689d5d4c3af98da9d3d8d927788b,"Drama, Girls Love"
,https://myanimelist.net/manga/145863/Sayonara_Eri,8.65,https://cdn.myanimelist.net/r/50x70/images/manga/3/263979.webp?s=17426bf77995d6d9dedad457b67d6374,
,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier,8.65,https://cdn.myanimelist.net/r/50x70/images/manga/3/190005.webp?s=dc03eee46316fe1f8c52268fd762807e,
,https://myanimelist.net/manga/98930/Violet_Evergarden,8.64,https://cdn.myanimelist.net/r/50x70/images/manga/3/279888.webp?s=75ba0239d1b34a7d525584ee28d6f828,"Drama, Fantasy"
,https://myanimelist.net/manga/9726/Zaregoto_Series,8.64,https://cdn.myanimelist.net/r/50x70/images/manga/1/157901.webp?s=f542f0a726ce2178ad29b63a5f7a095f,"Action, Drama, Mystery, Supernatural"
,https://myanimelist.net/manga/44/Gintama,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/3/267795.webp?s=dfe7dba40608385d4796181dcfcfcfac,"Action, Comedy, Sci-Fi"
,https://myanimelist.net/manga/904/Kozure_Ookami,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/1/159264.webp?s=7d16bfcd921bd2b6b7b47088656693bf,
,https://myanimelist.net/manga/103237/Wind_Breaker,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/1/189563.webp?s=e90145b630ce32e79a1b7689d98c0522,"Action, Drama, Sports"
,https://myanimelist.net/manga/137200/Mo_Dao_Zu_Shi,8.63,https://cdn.myanimelist.net/r/50x70/images/manga/1/267154.webp?s=61f749fde88108150daae65275159d10,"Action, Adventure, Boys Love, Mystery, Supernatural"
